co_coa,co_nadh,co_nadph,allstnd_aminos,nonstnd_aminos,s_openpyr_C6O6,s_openfur_C5O5,s_pyranose_C5O4,s_furanose_C4O3,d_indoleC2N_12,d_phenylC2N_9,d_c5n_6,d_c4n_5,d_phenylC3_9_strict,d_phenylC2_8_strict,d_phenylC1_7_strict,d_isoprene_5,d2_acetyl_C2O1,d2_methylmalonyl_C3,d_ethyl_2,d_methyl_1,phosphate_2,sulfonate_2,hal_f,hal_cl,hal_br,hal_i,n_nitrate_1,o_epoxy_1,o_ether_1,o_hydroxyl_1,r_c3,r_c4,r_c5,r_c6,r_c7,r_c8,r_c9,r_c10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,10,2,5,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
